1_event_id,2_event_type,3_event_clock,4_event_ns,5_event_value,6_event_ifrecovery,7_recovery_clock,8_recovery_ns,9_event_duration,10_function_name,11_function_parameter,12_trigger_dscr,13_trigger_expression,14_trigger_flags,15_trigger_priority,16_trigger_type,17_trigger_recovery_mode,18_trigger_recovery_expression,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
8742,3,1539705907,446070845,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8798,3,1539706207,854956855,1,1,1539706207,854956855,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8804,3,1539706207,854956855,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8895,3,1539706507,701485313,1,1,1539706507,701485313,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8901,3,1539706507,701485313,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
9029,3,1539765907,841510617,1,1,1539765907,844113627,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
9044,3,1539765907,844113627,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
9149,3,1539766207,716412692,1,1,1539766207,718188849,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
9166,3,1539766207,718188849,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
9220,3,1539766507,833012744,1,1,1539766507,839217476,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
