1_history_clock,2_history_ns,3_history_value,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
1539604865,801053501,100.0,60,ICMP loss,3,0,,0,,,,%
1539604925,474669224,100.0,60,ICMP loss,3,0,,0,,,,%
1539604985,146936176,100.0,60,ICMP loss,3,0,,0,,,,%
1539605045,818522082,100.0,60,ICMP loss,3,0,,0,,,,%
1539605105,491873293,100.0,60,ICMP loss,3,0,,0,,,,%
1539605165,166094711,100.0,60,ICMP loss,3,0,,0,,,,%
1539605225,837602818,100.0,60,ICMP loss,3,0,,0,,,,%
1539605285,509819934,100.0,60,ICMP loss,3,0,,0,,,,%
1539605345,183778005,100.0,60,ICMP loss,3,0,,0,,,,%
1539605405,855963479,100.0,60,ICMP loss,3,0,,0,,,,%
1539605465,529612252,100.0,60,ICMP loss,3,0,,0,,,,%
1539605525,200996524,100.0,60,ICMP loss,3,0,,0,,,,%
1539605585,871307201,100.0,60,ICMP loss,3,0,,0,,,,%
1539605645,543646199,100.0,60,ICMP loss,3,0,,0,,,,%
1539605705,217580514,100.0,60,ICMP loss,3,0,,0,,,,%
1539605765,889921072,100.0,60,ICMP loss,3,0,,0,,,,%
1539605825,563461115,100.0,60,ICMP loss,3,0,,0,,,,%
1539605885,234513862,100.0,60,ICMP loss,3,0,,0,,,,%
1539605945,905928740,100.0,60,ICMP loss,3,0,,0,,,,%
1539606005,578956478,100.0,60,ICMP loss,3,0,,0,,,,%
1539606065,249493247,100.0,60,ICMP loss,3,0,,0,,,,%
1539606125,922769259,100.0,60,ICMP loss,3,0,,0,,,,%
1539606185,595865825,100.0,60,ICMP loss,3,0,,0,,,,%
1539606245,268891029,100.0,60,ICMP loss,3,0,,0,,,,%
1539606305,940919734,100.0,60,ICMP loss,3,0,,0,,,,%
1539606365,621114312,100.0,60,ICMP loss,3,0,,0,,,,%
1539606425,291280935,100.0,60,ICMP loss,3,0,,0,,,,%
1539606485,964501887,100.0,60,ICMP loss,3,0,,0,,,,%
1539606545,638618316,100.0,60,ICMP loss,3,0,,0,,,,%
1539606605,312826923,100.0,60,ICMP loss,3,0,,0,,,,%
1539606665,984443685,100.0,60,ICMP loss,3,0,,0,,,,%
1539606725,656366449,100.0,60,ICMP loss,3,0,,0,,,,%
1539606785,328987888,100.0,60,ICMP loss,3,0,,0,,,,%
1539606846,1431226,100.0,60,ICMP loss,3,0,,0,,,,%
1539606905,672119801,100.0,60,ICMP loss,3,0,,0,,,,%
1539606965,344981239,100.0,60,ICMP loss,3,0,,0,,,,%
1539607025,16958499,100.0,60,ICMP loss,3,0,,0,,,,%
1539607085,690258577,100.0,60,ICMP loss,3,0,,0,,,,%
1539607145,363543725,100.0,60,ICMP loss,3,0,,0,,,,%
1539607205,35949213,100.0,60,ICMP loss,3,0,,0,,,,%
1539607265,707070855,100.0,60,ICMP loss,3,0,,0,,,,%
1539607325,379047120,100.0,60,ICMP loss,3,0,,0,,,,%
1539607385,34466752,100.0,60,ICMP loss,3,0,,0,,,,%
1539607445,706137098,100.0,60,ICMP loss,3,0,,0,,,,%
1539607505,379197888,100.0,60,ICMP loss,3,0,,0,,,,%
1539607565,51764528,100.0,60,ICMP loss,3,0,,0,,,,%
1539607625,725880298,100.0,60,ICMP loss,3,0,,0,,,,%
1539611946,720874634,100.0,60,ICMP loss,3,0,,0,,,,%
1539612005,699613022,100.0,60,ICMP loss,3,0,,0,,,,%
1539612065,374102644,100.0,60,ICMP loss,3,0,,0,,,,%
1539612125,52651945,0.0,60,ICMP loss,3,0,,0,,,,%
1539612185,185246212,0.0,60,ICMP loss,3,0,,0,,,,%
1539612245,305200365,0.0,60,ICMP loss,3,0,,0,,,,%
1539612305,419519458,0.0,60,ICMP loss,3,0,,0,,,,%
1539612365,556282113,0.0,60,ICMP loss,3,0,,0,,,,%
1539612425,690688270,0.0,60,ICMP loss,3,0,,0,,,,%
1539612485,822644926,0.0,60,ICMP loss,3,0,,0,,,,%
1539612545,977447455,0.0,60,ICMP loss,3,0,,0,,,,%
1539612605,604532249,0.0,60,ICMP loss,3,0,,0,,,,%
1539612665,325582192,0.0,60,ICMP loss,3,0,,0,,,,%
1539612725,526217187,0.0,60,ICMP loss,3,0,,0,,,,%
1539612785,652134180,0.0,60,ICMP loss,3,0,,0,,,,%
1539612845,764621488,0.0,60,ICMP loss,3,0,,0,,,,%
1539612905,131450304,0.0,60,ICMP loss,3,0,,0,,,,%
1539612965,832143753,0.0,60,ICMP loss,3,0,,0,,,,%
1539613025,932948293,0.0,60,ICMP loss,3,0,,0,,,,%
1539613085,120845262,0.0,60,ICMP loss,3,0,,0,,,,%
1539613145,256805068,0.0,60,ICMP loss,3,0,,0,,,,%
1539613205,396792143,0.0,60,ICMP loss,3,0,,0,,,,%
1539613265,500888971,0.0,60,ICMP loss,3,0,,0,,,,%
1539613325,638051096,0.0,60,ICMP loss,3,0,,0,,,,%
1539613385,837226202,0.0,60,ICMP loss,3,0,,0,,,,%
1539613445,961266324,0.0,60,ICMP loss,3,0,,0,,,,%
1539613505,86216610,0.0,60,ICMP loss,3,0,,0,,,,%
1539613565,991371284,0.0,60,ICMP loss,3,0,,0,,,,%
1539613625,106424126,0.0,60,ICMP loss,3,0,,0,,,,%
1539613685,482232904,0.0,60,ICMP loss,3,0,,0,,,,%
1539613745,358338194,0.0,60,ICMP loss,3,0,,0,,,,%
1539613805,29875670,0.0,60,ICMP loss,3,0,,0,,,,%
1539613865,321178911,0.0,60,ICMP loss,3,0,,0,,,,%
1539613925,831779878,0.0,60,ICMP loss,3,0,,0,,,,%
1539613985,545618950,0.0,60,ICMP loss,3,0,,0,,,,%
1539614045,651430659,0.0,60,ICMP loss,3,0,,0,,,,%
1539614105,811607546,0.0,60,ICMP loss,3,0,,0,,,,%
1539614165,716013688,0.0,60,ICMP loss,3,0,,0,,,,%
1539614225,318889325,0.0,60,ICMP loss,3,0,,0,,,,%
1539614285,409583543,0.0,60,ICMP loss,3,0,,0,,,,%
1539614345,269121233,0.0,60,ICMP loss,3,0,,0,,,,%
1539614405,951251008,0.0,60,ICMP loss,3,0,,0,,,,%
1539614465,640912880,0.0,60,ICMP loss,3,0,,0,,,,%
1539614525,625817060,0.0,60,ICMP loss,3,0,,0,,,,%
1539614585,209488823,0.0,60,ICMP loss,3,0,,0,,,,%
1539614645,18828720,0.0,60,ICMP loss,3,0,,0,,,,%
1539614705,505116483,0.0,60,ICMP loss,3,0,,0,,,,%
1539614765,274093717,0.0,60,ICMP loss,3,0,,0,,,,%
1539614825,598863835,0.0,60,ICMP loss,3,0,,0,,,,%
1539614885,973218682,0.0,60,ICMP loss,3,0,,0,,,,%
1539614945,344667618,0.0,60,ICMP loss,3,0,,0,,,,%
1539615005,686780137,0.0,60,ICMP loss,3,0,,0,,,,%
1539615065,15924701,0.0,60,ICMP loss,3,0,,0,,,,%
1539615125,419370970,0.0,60,ICMP loss,3,0,,0,,,,%
1539615185,993078562,0.0,60,ICMP loss,3,0,,0,,,,%
1539615245,109085429,0.0,60,ICMP loss,3,0,,0,,,,%
1539615305,502292826,0.0,60,ICMP loss,3,0,,0,,,,%
1539615365,734709623,0.0,60,ICMP loss,3,0,,0,,,,%
1539615425,865910933,0.0,60,ICMP loss,3,0,,0,,,,%
1539615485,960500766,0.0,60,ICMP loss,3,0,,0,,,,%
1539615545,572131255,0.0,60,ICMP loss,3,0,,0,,,,%
1539615605,701722315,0.0,60,ICMP loss,3,0,,0,,,,%
1539615665,794770721,0.0,60,ICMP loss,3,0,,0,,,,%
1539615725,892306866,0.0,60,ICMP loss,3,0,,0,,,,%
1539615785,431190454,0.0,60,ICMP loss,3,0,,0,,,,%
1539615845,572703631,0.0,60,ICMP loss,3,0,,0,,,,%
1539615905,710749353,0.0,60,ICMP loss,3,0,,0,,,,%
1539615965,924873257,0.0,60,ICMP loss,3,0,,0,,,,%
1539616025,17768609,0.0,60,ICMP loss,3,0,,0,,,,%
1539616085,24688636,0.0,60,ICMP loss,3,0,,0,,,,%
1539616145,131554574,0.0,60,ICMP loss,3,0,,0,,,,%
1539616205,400663772,0.0,60,ICMP loss,3,0,,0,,,,%
1539616265,795775009,0.0,60,ICMP loss,3,0,,0,,,,%
1539616325,66462711,0.0,60,ICMP loss,3,0,,0,,,,%
1539616385,16185729,0.0,60,ICMP loss,3,0,,0,,,,%
1539616445,253764341,0.0,60,ICMP loss,3,0,,0,,,,%
1539616505,601959966,0.0,60,ICMP loss,3,0,,0,,,,%
1539616565,769376169,0.0,60,ICMP loss,3,0,,0,,,,%
1539616625,900949676,0.0,60,ICMP loss,3,0,,0,,,,%
1539616685,37265671,0.0,60,ICMP loss,3,0,,0,,,,%
1539616745,154644091,0.0,60,ICMP loss,3,0,,0,,,,%
1539616805,251415542,0.0,60,ICMP loss,3,0,,0,,,,%
1539616865,346403123,0.0,60,ICMP loss,3,0,,0,,,,%
1539616925,448864308,0.0,60,ICMP loss,3,0,,0,,,,%
1539616985,543266657,0.0,60,ICMP loss,3,0,,0,,,,%
1539617045,686043127,0.0,60,ICMP loss,3,0,,0,,,,%
1539617105,819418750,0.0,60,ICMP loss,3,0,,0,,,,%
1539617165,935675488,0.0,60,ICMP loss,3,0,,0,,,,%
1539617225,55270295,0.0,60,ICMP loss,3,0,,0,,,,%
1539617285,189747669,0.0,60,ICMP loss,3,0,,0,,,,%
1539617345,329198581,0.0,60,ICMP loss,3,0,,0,,,,%
1539617405,462228025,0.0,60,ICMP loss,3,0,,0,,,,%
1539617465,572213278,0.0,60,ICMP loss,3,0,,0,,,,%
1539617525,831733513,0.0,60,ICMP loss,3,0,,0,,,,%
1539617585,968833936,0.0,60,ICMP loss,3,0,,0,,,,%
1539617645,77098247,0.0,60,ICMP loss,3,0,,0,,,,%
1539617705,196637790,0.0,60,ICMP loss,3,0,,0,,,,%
1539617765,332230701,0.0,60,ICMP loss,3,0,,0,,,,%
1539617825,455660476,0.0,60,ICMP loss,3,0,,0,,,,%
1539695585,267738781,100.0,60,ICMP loss,3,0,,0,,,,%
1539695645,983632366,100.0,60,ICMP loss,3,0,,0,,,,%
1539695705,692732590,100.0,60,ICMP loss,3,0,,0,,,,%
1539695765,401384028,100.0,60,ICMP loss,3,0,,0,,,,%
1539695825,87733148,100.0,60,ICMP loss,3,0,,0,,,,%
1539695885,661834867,100.0,60,ICMP loss,3,0,,0,,,,%
1539695946,367563517,100.0,60,ICMP loss,3,0,,0,,,,%
1539696007,233695592,100.0,60,ICMP loss,3,0,,0,,,,%
1539696066,51486426,100.0,60,ICMP loss,3,0,,0,,,,%
1539696127,452603543,100.0,60,ICMP loss,3,0,,0,,,,%
1539696185,642928781,100.0,60,ICMP loss,3,0,,0,,,,%
1539696245,691246185,100.0,60,ICMP loss,3,0,,0,,,,%
1539696305,562837873,100.0,60,ICMP loss,3,0,,0,,,,%
1539696365,927393130,100.0,60,ICMP loss,3,0,,0,,,,%
1539696425,643275749,100.0,60,ICMP loss,3,0,,0,,,,%
1539696485,228070424,100.0,60,ICMP loss,3,0,,0,,,,%
1539696545,905993189,100.0,60,ICMP loss,3,0,,0,,,,%
1539696605,579296734,100.0,60,ICMP loss,3,0,,0,,,,%
1539696665,253454354,100.0,60,ICMP loss,3,0,,0,,,,%
1539696725,925709737,100.0,60,ICMP loss,3,0,,0,,,,%
1539696785,601320648,100.0,60,ICMP loss,3,0,,0,,,,%
1539696845,276379312,100.0,60,ICMP loss,3,0,,0,,,,%
1539696905,950993986,0.0,60,ICMP loss,3,0,,0,,,,%
1539696965,63080033,100.0,60,ICMP loss,3,0,,0,,,,%
1539697025,737218933,0.0,60,ICMP loss,3,0,,0,,,,%
1539697085,868461854,0.0,60,ICMP loss,3,0,,0,,,,%
1539697146,1446871,0.0,60,ICMP loss,3,0,,0,,,,%
1539697205,131180012,0.0,60,ICMP loss,3,0,,0,,,,%
1539697265,254572255,0.0,60,ICMP loss,3,0,,0,,,,%
1539697325,386762547,0.0,60,ICMP loss,3,0,,0,,,,%
1539697385,518311403,0.0,60,ICMP loss,3,0,,0,,,,%
1539697445,660038076,0.0,60,ICMP loss,3,0,,0,,,,%
1539697505,805938376,0.0,60,ICMP loss,3,0,,0,,,,%
